"title","category","duration","channel","description","intensity","props","url"
"Joga dla Całego Ciała - 30 minut Pracy na Każdy Dzień!","Wzmacnianie, Rozciąganie, Relaks, Codzienna praktyka","31","Małgorzata Mostowska","Sesja jogi wzmacniającej i uelastyczniającej całe ciało z elementami rozciągania.","3","Brak","https://www.youtube.com/watch?v=3j0qqpLed5k"
"Wieczorna Joga na Sen - Zrelaksuj Się","Relaks, Sen, Wieczorna Joga, Bez stresu","18","Małgorzata Mostowska","Wieczorna sesja jogi, mająca na celu relaksację i przygotowanie do snu.","2","Brak","https://www.youtube.com/watch?v=8iH_X-6dqQ4"
"Masaż Limfatyczny + Ćwiczenia  - Codzienna Praktyka Poranna!","Relaks, Poranek, Masaż, Limfa","13","Małgorzata Mostowska","Praktyka masażu limfatycznego połączona z ćwiczeniami do wykonania codziennie, najlepiej o poranku.","2","Brak","https://www.youtube.com/watch?v=bMbmi864_T4"
"10 Minut Codziennej Praktyki Limfy - Automasaż Limfatyczny","Relaks, Limfa, Automasaż, Poranek","12","Małgorzata Mostowska","Automasaż limfatyczny, który można wykonać samodzielnie, świetny do rozpoczęcia dnia.","2","Brak","https://www.youtube.com/watch?v=5wZY3PuK1kw"
"Joga Vinyasa dla Całego Ciała! 30 minut Flow ☀️","Vinyasa, Flow, Rozciąganie, Siła","31","Małgorzata Mostowska","30 minutowa praktyka jogi Vinyasa Flow z intensywną pracą nad ciałem i oddechem.","4","Brak","https://www.youtube.com/watch?v=-6X3R0FnD4s"
"Joga na Stres - Ukojenie i Samoregulacja","Relaks, Joga, Stres, Samoregulacja","28","Małgorzata Mostowska","30 minut kojącej jogi na stres ze spokojnym oddechem i świadomym ruchem.","2","Brak","https://www.youtube.com/watch?v=qXLT4vgVXiE"
"Joga na Kręgosłup - Zdrowe Plecy bez Bólu","Kręgosłup, Rozciąganie, Zdrowie, Relaks","17","Małgorzata Mostowska","Praktyka jogi skupiająca się na zdrowym kręgosłupie, z łagodnymi pozycjami wzmacniającymi i rozciągającymi.","2","Brak","https://www.youtube.com/watch?v=CdxB1iUavdg"
"Poranna Joga na Dzień Dobry - 30 minut dla Ciała i Ducha","Poranek, Rozruch, Relaks, Świadomy oddech","30","Małgorzata Mostowska","Poranna joga skupiająca się na rozruchu, rozciągnięciu i świadomym oddechu.","3","Brak","https://www.youtube.com/watch?v=hYiAxvTQzlg"
"Kojąca Joga Terapeutyczna na Stres","Relaks, Stres, Rozciąganie, Hatha","30","Małgorzata Mostowska","30 minut spokojnej praktyki jogi, skupiającej się na oddechu i świadomym ruchu.","2","Brak","https://www.youtube.com/watch?v=vj93OABgzFU"
"Poranna Joga na Dobry Dzień - 20 minut Dobrej Energii!","Poranek, Relaks, Rozgrzewka, Hatha","21","Małgorzata Mostowska","20 minutowa poranna praktyka jogi dla każdego, skoncentrowana na rozruchu ciała.","3","Brak","https://www.youtube.com/watch?v=GjrnMNNtBOY"
